item_type,date_uploaded,source_file,item_id,title,creation_date,source_url,resource_type,language,rights_advisory,rights_info,description,creators,loc_subjects,location,image_url
Item,2024-12-16,./item-metadata\im_cph.3b41963.json,91787443,"Carnegie Library, Cordele, Georgia",[ca. 1916],https://www.loc.gov/item/91787443/,still image,Not found,No known restrictions on publication.,No known restrictions on publication.,"Photo shows a group of children posed on and in front of steps, roof and dome draped with stars and stripes banners. A Carnegie grant for $10,000 in 1903 funded this building, with an  additional $7,556 in 1916 for remodeling. Still used as a public library.",Not found,['Libraries--Georgia--Cordele--1910-1920'],Georgia--Cordele,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b41000/3b41900/3b41963v.jpg#h=823&w=1024
Item,2024-12-16,./item-metadata\im_cph.3b43255.json,89710983,Silence / Mabel Dwight.,[1939],https://www.loc.gov/item/89710983/,still image,eng,"No known restrictions on publication. For more information, see Federal Art Project (FAP) Prints  - Rights and Restrictions Information http://hdl.loc.gov/loc.pnp/res.750.fap","No known restrictions on publication. For more information, see Federal Art Project (FAP) Prints  - Rights and Restrictions Information http://hdl.loc.gov/loc.pnp/res.750.fap",Group of people reading in library.,"['Dwight, Mabel, 1876-1955, artist']","['Reading rooms--1930-1940', 'Reading--1930-1940']",Not found,https://tile.loc.gov/storage-services/service/pnp/cph/3b40000/3b43000/3b43200/3b43255r.jpg#h=422&w=640
Item,2024-12-16,./item-metadata\im_cph.3c18157.json,97511671,"Carnegie Library, Sheldon, Iowa",[c1909],https://www.loc.gov/item/97511671/,still image,Not found,Undetermined,Undetermined,"Exterior of library, with six people on steps.",Not found,['Libraries--Iowa--Sheldon--1900-1910'],Iowa--Sheldon,https://tile.loc.gov/storage-services/service/pnp/cph/3c10000/3c18000/3c18100/3c18157v.jpg#h=824&w=1024
Item,2024-12-16,./item-metadata\im_cph.3f05168.json,98508385,"Curb service 10,000 current books - convenient, free, time saving : Chicago Public Library, Randolph St. corridor.",[between 1936 and 1941],https://www.loc.gov/item/98508385/,still image,Not found,No known restrictions on publication.,No known restrictions on publication.,"Poster for bookmobile service of the Chicago Public Library, showing a traffic light.","['Federal Art Project, sponsor']","['Chicago Public Library--Public relations--1930-1950', 'Bookmobiles--Illinois--Chicago--1930-1950', 'Libraries--Illinois--Chicago--1930-1950']",Illinois--Chicago,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05168v.jpg#h=1024&w=708
Item,2024-12-16,./item-metadata\im_cph.3f05183.json,98508155,For greater knowledge on more subjects use your library more often,[between 1936 and 1941],https://www.loc.gov/item/98508155/,still image,Not found,No known restrictions on publication.,No known restrictions on publication.,"Poster showing a mortarboard and a pair of glasses superimposed over a globe, promoting use of libraries.","['Federal Art Project, sponsor']","['Libraries--Illinois--Chicago--1930-1950', 'Education--Illinois--Chicago--1930-1950']",Illinois--Chicago,https://tile.loc.gov/storage-services/service/pnp/cph/3f00000/3f05000/3f05100/3f05183v.jpg#h=1024&w=705
Item,2024-12-16,./item-metadata\im_det.4a17925.json,2016809661,"[Cossitt Library, Memphis, Tenn.]",[1906?],https://www.loc.gov/item/2016809661/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"['Title from jacket.', '""G 3834"" on negative.', 'Detroit Publishing Co. no. 034336.', 'Gift; State Historical Society of Colorado; 1949.']","['Detroit Publishing Co., publisher']","['Libraries', 'United States--Tennessee--Memphis']",Tennessee--Memphis,https://tile.loc.gov/storage-services/service/pnp/det/4a10000/4a17000/4a17900/4a17925v.jpg#h=814&w=1024
Item,2024-12-16,./item-metadata\im_det.4a23603.json,2016815290,"Little Rock Public Library, Little Rock, Ark.",c[between 1905 and 1915],https://www.loc.gov/item/2016815290/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"['""G 6758"" on negative.', 'Detroit Publishing Co. no. 071740.', 'Gift; State Historical Society of Colorado; 1949.']","['Detroit Publishing Co., copyright claimant', 'Detroit Publishing Co., publisher']","['Libraries', 'United States--Arkansas--Little Rock']",Arkansas--Little Rock,https://tile.loc.gov/storage-services/service/pnp/det/4a20000/4a23000/4a23600/4a23603v.jpg#h=820&w=1024
Item,2024-12-16,./item-metadata\im_ds.06507.json,2014650180,"Buffalo, N.Y. -  Public library - children's room",[ca. 1900],https://www.loc.gov/item/2014650180/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Photograph shows girls and boys reading in the children's room at the public library in Buffalo, New York.","['Handy, Levin C. (Levin Corbin), 1855-1932.']","['Public libraries--New York (State)--Buffalo--1890-1910', 'Children--New York (State)--Buffalo--1890-1910', 'Reading--New York (State)--Buffalo--1890-1910']",New York (State)--Buffalo,https://tile.loc.gov/storage-services/service/pnp/ds/06500/06507v.jpg#h=826&w=1024
Item,2024-12-16,./item-metadata\im_ds.06560.json,2014647618,Main public library building - Detroit,[between 1921 and 1930?],https://www.loc.gov/item/2014647618/,still image,eng,No known restrictions on publication.,No known restrictions on publication.,"Photograph shows view of Carnegie library in Detroit, Michigan.","['Gilbert, Cass, 1859-1934, architect']","['Detroit Public Library--Buildings--1920-1930', 'Berry Brothers--Public relations--1920-1930', 'Carnegie libraries--Michigan--Detroit--1920-1930', 'Public libraries--Michigan--Detroit--1920-1930']",Michigan--Detroit,https://tile.loc.gov/storage-services/service/pnp/ds/06500/06560v.jpg#h=727&w=1024
Item,2024-12-16,./item-metadata\im_fsa.8b14169.json,2017762724,"Newspaper reading room of public library. Omaha, Nebraska",1938 Nov.,https://www.loc.gov/item/2017762724/,still image,eng,"No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html","No known restrictions. For information, see U.S. Farm Security Administration/Office of War Information Black & White Photographs https://www.loc.gov/rr/print/res/071_fsab.html","['Title and other information from caption card.', 'Transfer; United States. Office of War Information. Overseas Picture Division. Washington Division; 1944.', 'More information about the FSA/OWI Collection is available at http://hdl.loc.gov/loc.pnp/pp.fsaowi', 'Temp. note: usf34batch1']","['Vachon, John, 1914-1975, photographer']","['United States--Nebraska--Douglas County--Omaha', 'Omaha--Nebraska']",Nebraska--Douglas County--Omaha,https://tile.loc.gov/storage-services/service/pnp/fsa/8b14000/8b14100/8b14169v.jpg#h=783&w=1024
